,Text
467,"On recommence la campagne Spelljammer, après une pause Covid. Ce sera à 20h ce soir sur https://t.co/q3H5QE5tbS
#dnd #dnd5e #DnDcharacter #actualplay #jdr"
468,"@covid_ch @Redkiraz Il n est pas dans le bulletin sentinella? (Depuis mon smartphone saturé comme les hôpitaux suisses 😖, j ai de la peine avec les pdf...)"
469,"@covid_ch Pas de problème, ils reportent l électif. Tout va bien à un petit détail près : vaut mieux ne pas avoir besoin de soins dans ce pays. Je sais pourquoi je porte un 😷 et pourquoi je ne suis pas prête à y renoncer, et c est pas parce que j aime passer pour l'imbécile du coin..."
470,@CollinRugg Notice with other drug ads 25 warnings; Covid Vax none
471,"@katjabraendle @ToscanRalph @BAG_OFSP_UFSP @Swissmedic_ @GDK_CDS Laut @srfnews gilt die #CovidImpfung insgesamt als Erfolg“. Ist der Begriff „Erfolg“ etwa neu definiert worden? Fakt ist, dass gemäss BAG-Statistiken die NICHT geimpften Covid Patienten in den Spitälern schon seit einiger Zeit klar untervertreten sind. https://t.co/N2T44Pn21c"
472,@Karl_Lauterbach Ach was!
473,@GerdLorsch New York Stock Exchange.
474,"İşviçre
Görevi kötüye kullanmaktan Federal Konsey Üyesi Alain Berset hakkında suçlamalar. Yatırım bankacısı ve film yapımcısı Pascal Najadi'den geliyor. Sağlık Bakanı'nı Covid aşısı hakkında yalan söylemekle suçluyor.
#Federal Konsey #COVID19 #aşılama https://t.co/2O3w1GJZqS"
475,"@RenateKuenast Schön, dass Sie Ihre Gesinnung nicht nur mit der evidenzbefreiten Maske zeigen, sondern auch mit Ihrer Einstellung zum Geld.  Damit wäre ja dann alles gesagt. Hier zu Ihrer Info noch die Maskenstudie der WHO von 2019. Tip: 2. Spalte von rechts. https://t.co/MlHg6I5S4J https://t.co/CGTWwVn2vU"
476,So langsam wird's unheimlich! Sind die sogenannten Verschwörungstheoretiker eigentlich heimliche Zeitreisende??? https://t.co/64WjGh0EQc
477,@marychiles1957 @JudicialWatch Because if Covid was accidentally released from a lab... how much more danger would they be in if whatever was in there leaked out due to the bombs? They got some scary viruses. They were examining the black plague some years back... what if that viruses got out  and in the water
478,"@dominiksteiger Was mich nervt ist, dass bei @20min einmal mehr die Grippe mit anderen Erkältungsviren (und Covid) verwechselt wird. Eine Grippe ist keine Erkältung, kein RSV, kein Covid. Wann checkt ihr das endlich? Im übrigen geht die Grippe in der🇨🇭(noch) nicht stark um."
479,@wayotworld Batting “Covid 19”. New name for the vax i see.
480,@unhoodwinked @MarioNawfal When the last 8 major conspiracies have been proven true.... makes you think. Anyone else notice Democrats project their own flaws onto everything. 🤔  Republicans are Racist  Jussie Smollet. Covid didn't come from a lab... masks work... electric vehicles are better for the 🌍
481,@RyanAFournier Was her remit content management in covid misinformation?
482,18394 registered #COVID-19 #clinicaltrials in the #WHO #ICTRP database @vaseemoorthy @WHO https://t.co/R0fQ7vZrSP
483,"@DarlaShine Just got a text from my fully boosted sister, she has Covid for the 2nd time in 2 weeks."
484,"@covid_ch Une société qui ""cale"" ... Je n'avais jamais entendu cette expression, mais elle sonne tristement juste. Comme son analyse sur le désengagement, et la responsabilité collective là-autour."
485,"@danielmgmoylan facts is it?

When the gap gets this big....widespread strikes, a surge in crime and civil unrest follows, like night follows day.

Problem for tories is they cannot blame ukraine or covid. https://t.co/4EWxqFWyLs"
486,"@AddictScrabble @Conservatives unfortunately, after 12 years of tory rule...the gap is so big...widespread strikes, surge in crime and civil unrest follows, like night follows day @AddictScrabble 

big problem for tories now is that they cannot blame this on Ukraine or covid. It's down to poor governance. https://t.co/XlNaEWnvOr"
487,"@214poundsVolk @TrollFootball you are not answering the question 😔 I rephrase: how many deaths in your country due to covid, more or less than the supposed number of deaths in Qatar ? of course more, which means that your country stinks more than Qatar 😭😭😭"
488,"@214poundsVolk @TrollFootball Maybe they died because of COVID ? (I know this is not the answer you like) 
P.S : how many died the last 3 years in your country because of COVID, let s talk about that 😔"
489,"Une foule d'étudiants de l’Université de technologie de Nankin ont manifesté mardi pour pouvoir quitter leur campus, à l'heure ou de nombreuses villes chinoises assouplissent leur stratégie zéro covid https://t.co/Q8ANQKdPJl"
490,"@ClaudeSteve6 J'en parlais ce matin avec un ami en Italie: toute infection dans l'enfance peut avoir des consequences désastreuses des annees après (moi je faisais l'exemple du virus EBV et le lien avec la SEP).
Je n'ose pas imaginer ce que le Covid nous reserve à l'avenir 😔"
491,"@tomdabassman @WalterDietz1 @prof_freedom @FrankfurtZack Nein nur Menschen mit einem laborbestätigtem Covid-Test.

""Die Darstellung zeigt die zeitliche Entwicklung der gemeldeten laborbestätigten Hospitalisationen nach Impfstatus in der Schweiz und Liechtenstein."""
492,"@srfnews Es sind eben leider keine ""seltenen Fälle"". 
Die Dunkelziffer ist riesig.  https://t.co/ihrNqCu1SZ

Siehe auch: Pressekonferenz zur Strafanzeige gegen die Swissmedic von 6 direkt mRNA-Geschädigten und 37 Nebenklägern:
https://t.co/JfyS5mftjU https://t.co/3YMVHwprpK"
493,"Criminal complaint against the Swiss pharma regulator ""Swissmedic"" by 6 mRNA-injured victims and 37 additional plaintiffs. The in-depth press conf is now available with English subtitles and English slides.
https://t.co/fnmN4iGQtU"
494,"@MarcBrup Nummer 4: 
""Autopsy-based histopathological characterization of myocarditis after ..Covid-19 vacc..""
https://t.co/V7hy2rKskh
Thread mit papers zu Neurotoxizität:
https://t.co/kPtcFI9OYT
Sehr wichtig: Antibody-dependent enhancement:
https://t.co/rupWggl7AT"
495,"@MarcBrup Nummer 3:
""Curing the pandemic of misinformation on covid-19 mRNA vaccines through real evidence-based medicine"": https://t.co/Hz0Ixj0ycr
- Risk of Myocarditis After Sequential Doses of COVID-19 Vaccine and SARS-CoV-2 Infection:
https://t.co/SBmjdH2LCj"
496,"We just got informed that someone during the BDS'mash invitational is positive to COVID
No symptoms Saturday but some on Sunday

We will contact every player but you are informed here if you don't read our DMs"
497,"@covid_ch C'est drole, mais Alessandro Diana, monsieur ""omicron est une chance  cette variante je la vénère, immunite hybride et toussa toussa"" on ne l'entend plus trop... bizarre..."
498,"@covid_ch Oh, le joli mur!"
499,"A scientist who worked with the Wuhan lab claims Covid manmade, leaked 

My theory is also that this can only be manmade simply because the complexity.  

Source
https://t.co/bMQ3E5QcOQ"
500,"@Cernovich Psychosomatic, long covid, or long vax. How do we possibly tease apart the three?"
501,Clinical Studies: N95 Masks Never Worked To Stop COVID Virus https://t.co/fz2k9yf7WF
502,Wuhan Whistleblower: China Knew From The Start That COVID-19 Was Intentionally Engineered https://t.co/BK4Zde77Dy
503,"@jenndbic @ShaneyWright My lung issues only show on CT scans not X-rays. Non TB micro nodules. Pneumonia 4/2020 A-Fib 5/2021 &amp; micro nodule diagnosis. Probably Covid in 2020, not on radar at the time @ our local hospital."
504,"Covid world map: which countries have the most coronavirus vaccinations, cases and deaths? https://t.co/L1y8cGngk0"
505,"Environ 15% des ados covidés développeraient un Covid long, selon une étude genevoise https://t.co/PjYnWPMy1I"
506,Quelque 1400 hospitalisations après la vaccination contre le Covid en 2021 https://t.co/CYOUXBKfqr
507,@WhiteHouse When he took office the world was shut down by the CoVID pandemic! Disingenuous messages aren’t productive!
508,@peterwaech 1400 https://t.co/rILOYzAlYp
509,@RonDC27 @CollinRugg @elonmusk Isn’t that what they did to millions of Americans because of their lies and coercion with the government over Covid?  Did you conveniently forget that little detail?
510,"@KatieGraber @festive2018 @nathaliejacoby1 I grew up bilingual(German-French) so if you can’t read German please keep your commentary for yourself;)  
I was several time in control but refused Flu vaccine and covid vaccine! I don’t live in USA but Switzerland! I have control in one of the biggest hospital in Switzerland https://t.co/84NhRLHKt7"
511,"@EtceteraAlexa @DoeSpam ja, überlappende Pandemien sind gut möglich, Covid-Immunschaden lässt Erreger freier zirkulieren, persistieren und mutieren. Evt kommt noch was aus dem Permafrost, und natürlich weitere covid varianten etc. kann nur noch versuchen ein paar oke Jahre zu haben."
512,"@smithsj they study mechanisms and end up focusing on a disease as well. Which by the way is what is happening with #LongCovid research.  

I think Long Covid has already changed a lot how MECFS is seen. Of course more is needed..."
513,"@MarkCybird @BAG_OFSP_UFSP Nov 10 (Reuters) - The risk of death, hospitalization and serious health issues from COVID-19 jumps significantly with reinfection compared with a first bout with the virus, regardless of vaccination status, a study published on Thursday suggests. https://t.co/JoJiXBn0jm"
514,@covid_ch @Redkiraz 👏👏👏👏
515,@MrsSwannH @Helsana_it @itosettiMD_MBA @ClaudeSteve6 @covid_ch @Redkiraz 😔
516,@covid_ch Merci pour ces infos et la persévérance. 💪
517,"@SWISSAID @FabianMolinaNR @WalderNicolas @Uniterre1 @_HEKS @FIANista @Fastenaktion_CH @AllianceSud @publiceye_ch Da bin ich nun mal aber ganz mit Ihnen einer Meinung, Herr Molina! :-)"
518,"@Storch_i @ABaerbock @AuswaertigesAmt Sie sollte sich endlich impfen lassen, denn andernfalls gefährdet sie sich selbst und andere. Oder wieso trägt sie immer noch Maske?"
519,"@taf_sheep So geht es diversen Bekannten von mir. Die mRNA-Behandlung ist schädlich, insbesondere je mehr man davon injiziert.  Warum, wird z.B. in der Pressekonferenz zur Strafanzeige gegen den Schweizer Regulator ""Swissmedic"" erklärt, von Prof. Palmer:
https://t.co/OP8iW5Ca9D"
520,"Obwohl Kinder unter 5 nicht schwer an COVID erkranken, die Weitergabe nicht unterbunden wird und solche Kinder sterben und verletzt werden, sollen sie mit mRNA unter einer Notverordnung (!) gespritzt, d.h. genbehandelt, werden. 
https://t.co/SubHAn0LbW"
521,@FabianMolinaNR Und eine mRNA-Gen-Behandlung ohne Zustimmung ist was genau?
522,@JamesMelville Africa has bigger problems than privilege disease covid
523,"@MrsSwannH @Helsana_it @itosettiMD_MBA @ClaudeSteve6 @covid_ch @Redkiraz Putain, c'est grave quand même"
524,@JoseMor58549129 @wjxt4 I don't doubt Covid can kill. I also don't doubt that I will have Zero Side Effects from the Fastest produced vaccine in man's history. Especially when you see how much money is behind it. I don't doubt Science. I doubt the Experts and their motives. Snake oils salesmen exist.
525,@GuillaumeRozier Avec covid alors qu'ils ne sont pas là pour cela... votre marché de la peur. Je vous mets au défi de me donner le nombre exacte (c'est pourtant facile) de nous fournir le nombre de mort(s) à cause d'Omicron ainsi que nous fournir l'âge de ces (éventuels) derniers et comorbité(s)
526,"@StephenPunwasi It's not just immigrants Stephen. It's brits. 

When the gap gets this big...crime, widespread strikes &amp; civil unrest follows, like night follows day.

The problem for the tory gov is that they cannot blame this on ukraine or covid. It's down to poor governence. https://t.co/qyKNbHvc5F"
527,"COVID, which causes long COVID, is detrimental to the UK labor market.

This shows it's important to prevent (more) COVID if you want to preserve your employment potential (and your health). https://t.co/ap0Y5AuO6D"
528,Darf man nach dem Covid-Impfstatus der schweren Fälle fragen? https://t.co/vK8z7Foq2w
529,"Oil In Focus, China Covid Confusion And Vodafone Boss Steps Down https://t.co/zVfItepwM3 https://t.co/6DPn3jRJ89"
530,@FukBidens Crap coming out of Covid you get jobs. After Xmas money will run out out and we will be in recession
531,Customer service hasn’t been the same since covid
532,New Covid? https://t.co/MPyw9wrBIp
533,Bill Gates INSANE Comments On Covid https://t.co/QwibWoEBiY via @YouTube
534,"I hypothesize we’re experiencing an a** kicking from this year’s Cold/Flu Season because it’s first full season after CV-19 mandates lifted &amp; our bodies didn’t have benefits of Coronavirus antibodies as usual unless you got the Covid-19 infection. Take care, stay hydrated. https://t.co/FBdc0R7IYh"
535,"@wolfraiseshuman @Eric_Schmitt During his sworn testimony, last week, Dr. Fauci acknowledged that there are no studies, confirming that using surgical masks as being effective  at stopping Covid. Sworn testimony, not political speech."
536,@Eric_Schmitt Fauci Couldn’t Name Any Studies Showing Masks Work Against COVID-19: Lawyers https://t.co/w4CZVrK9Se
537,"@DScharpy @wolfraiseshuman @Eric_Schmitt By the way, the mortality rate of this Covid is insignificant when compared to the standard flu."
538,"@DScharpy @wolfraiseshuman @Eric_Schmitt Wear a mask if you want, but if you look at the battle between Florida and California, you will find that masking did not significantly lower the incidence of Covid. Do what you want, and inform yourself. When did we start trusting our government?"
539,Government reports prove COVID Vaccination is causing Hundreds of Thousands to 'Die Suddenly' every week &amp; Confidential Pfizer Docs. confirm your Government knew it would happen https://t.co/Msa5aTwyAQ
540,"@wolfraiseshuman @Eric_Schmitt Once again, these are anecdotal reviews, but hardly peer reviewed scientific studies.  Using the same logic, you can say nations that had a high usage of ivermectin for malaria had low incidence of Covid. The problem is proving a correlation."
541,@LucciaorLucy @Rhyszinger @sonia_elijah Some states made it illegal for Drs. To prescribe ivermectin for Covid and empowered pharmacies to enforce that law.
542,Powering through yesterday’s double covid/flu shot and 50 degree temps to make it to my 10 am tee time. If Twitter goes down today it’s good to know I went out on top as a hero.
543,@carsonkrow I have thought that Covid was not racist. Is she calling Covid racist and they can fix w a shot hell lol
544,@DanielRollTide @AJGONEFISHIN31 A the height of Covid my mom had a stroke . Hard to see her . She was there one day and two days I am feeding her and putting her in hospice
545,The background audio on this @SECNetwork @LibertyFootball at Arkansas game sounds like one of those soundtracks played during COVID when stadiums were empty.
546,@RNCResearch It takes more then two years to fix what was left this President!! Trump did nothing to help Covid.
547,"He can no longer be leader in Senate. He is a rhino &amp; is compromised to China due to the large shipping business his wife’s family owns in China. If he was to come down on China for creating Covid that killed many millions of people,the Chinese govt would shut down the business https://t.co/LFzGp2UNRG"
548,@Sally718068071 Especially with Covid. I didn’t see mom for months. When they let let me in I knew it was the end
549,@Sally718068071 I was lucky in that the decline was about 5 or 6 weeks. However in the middle is Covid so hard to see her  .
550,@boldercoffee A good question. People don’t realize that all the illegals have had no shots. We are reintroducing polio measles chicken pox tb into the pop Covid as well
551,@GovRonDeSantis Is this with Covid money too?
552,@DrKidNurse @CorsIAQ I literally do none of that and....No covid for me either.
553,@Colleen90019520 @newsmax I had three shots . I am done with Covid let’s move on. If I get it so be it
554,"Just got my bivalent COVID booster and my flu shot. Thank you, science! https://t.co/kuorbA7kSy"
555,"So, the government just implanted me with not one, but two, secret DNA monitoring devices under the guise of calling them “vaccinations” against hoaxes they refer to as COVID and influenza. https://t.co/eAfslsxAAJ"
556,Well covid finally got me
557,‘Centaurus’ COVID subvariant seeps into Florida while sister mutation spreads in Southeast https://t.co/FbIYPRcpv1
558,@JohnAriola4 @beezwackx Good gif enough with Covid already
559,@RonDeSantisFL @FRLAnews @FloridaRetail How many died because of your NO Covid 19 plan?
560,After Covid … AND monkey pox … how as a parent do you allow your child to crawl on all 4’s on the floor of a public place ….
561,"@joshvam @CDCgov Why are you angry? Thank god for the shots, for doing there job, to keep them alive!! That shots don’t keep them from getting Covid, but it dose help keep them alive. 🙏🏻🙏🏻"
562,@amandameikim The researchers got feedback from community health center audiences in the east bay. We learned something about the translation process and the way evidence is presented in plain language English re COVID vax etc.
563,"Scientists Fear We’re Not Ready for Nightmare COVID Variant

https://t.co/CfaAhwTguI"
564,"Ideals like Freedom and Liberty are really not part of the #CCPs plan.

About 80,000 tourists reportedly stranded in China resort city after authorities declared it a COVID-19 hot spot
https://t.co/hkdunE6Fja"
565,"@TC10pen @CgalTxh @RandPaul I really want to get the homeless off the street,  why are they not dying en made w Covid and monkey pox.  Throwing a flag on the Covid play"
566,"@N76247476Man I am done with Covid, got 3 shots and am done with it.  Going to take my chances. Had chicken pox not worried about monkey pox.  I had all the child hood diseases chicken pox not bad,  measles I had twice"
567,@LisaMarieBoothe Here is a President who ridiculed President Trump going to Walter Reed Army Hospital. Here is a man who had Covid twice within a couple of weeks…maybe he should be in a hospital…
568,"@TimHannan @annrovetto Do you ever think of how many Americans were lost to Covid because of the actions of tfg?? Imagine, had we had we only had a decent potus then..."
569,"You can order your free covid tests 
at https://t.co/vY4M6hcGMk"
570,@tweettruth2me I am dine with Covid  it is just a money grab for Pharma
571,@haveaconcern When trump got Covid they wanted him to die! Biden is 78 so apparently those 4 shots didn’t work!
572,@jenjohn72 @vette_98 @Arkypatriot During Covid my 94 year old mother was in assisted living. I was not allowed to to see her for about 9 months. When I was allowed in I got a test. A mask shield and a coat. She had a stroke and I had to jump thru hoops to see her . Pissed me off
573,"@Sally718068071 Ie another Covid out break . I am old have very little  wrong w me and not getting another shot. I have had measles mumps chicken pox and scarletina,"
574,@JVR926 Americans are tired of Covid.  I am over 65 had the shots and am done.
575,Little man is going back to school finally after COVId. He is beyond ready and excited!!!! He wanted to wear his #CanvaEDU jersey because he is truly my mini-me. 😂😂😂 #edtech #autismdad https://t.co/aX9p1lyK6B
576,"@TheAndrewNadeau Omg! You just casually mention that you have Covid and no one wishes you a speedy recovery?!?!😤😡🤬

Sophie and I wish you a speedy recovery!💜 https://t.co/ahOYI6rGK8"
577,"Little man is dealing with Covid and has been a little grumpy. He put on his daddies #CanvaEDU shirt, and it filled my heart. My boy is the ultimate force for good in my life. Seeing my “little boy” growing up and stealing my clothes is mind boggling. 

Slow down time. https://t.co/XNrUUNHi3g"
578,"@drclairetaylor I had the stiff neck/severe headache , sore throat…no cough with recent Covid."
579,"Monkey Pox is mutating twelve times faster than expected. Buckle up. 
Covid + Monkey Pox + Corrupt Supreme Court + No Abortion Rights + No EPA + Emmisions Protections + Ukraine + World Hunger + Climate Change + whatelse?
#VaccinateMeForMonkeyPox
#ScrewTheRadicalSCOTUS https://t.co/wLUC5sDpHP"
580,Covid is the worst 😩 fever free but coughing my soul up. I sound like I've been smoking since high school
581,@covid_parent Crazy isn’t it?
582,@covid_parent Are you for real!🤣🤣🤣🤣🤣
583,"@covid_parent Really? No, actually pre-conditions kill like cancer, heart disease, COPD, pneumonia, even colds and flu kill people, Covid May ‘help’ it along. But Covid itself kills very little? Numbers are swayed by the corrupt government and media! IMO!"
584,@kvlly 😱 That is Butters from the South Park COVID episodes.
585,"Always great to see positive commentary on a paper you wrote; this one on COVID-19 #Origins, a topic still in the news… @smaorg  https://t.co/80HrhQZWf7"
586,@covid_parent SMH! Is this a joke? So full of crap CNBC!
587,"@SafemoonPoon Idk, a few weeks ago we had a family reunion and i couldnt make it trying to cover bills becuse ive been out of work and covid had me 2 months behind. So right now i want to try to get my mom and the burial situated 1st befor i find away there."
588,"Except in Florida, where we live in hell. We have a State that is loosing its Freedoms, one after the other, at the hand of Desantis. His latest infringement is not ordering Vaccines for our 6 month olds through five year old Fliridians that now qualify for a Covid Vaccine. Smh. https://t.co/r8onTD6DKG"
589,Desantis is the only Governor not to order Covid Vaccines for Floridians five year old and younger. #VoteCharlieCrist
590,@someonelse55 I have a 7 year old grandson and I am against Covid vax for him
591,"Another of trumps legacies comes to a head as Iran gets closer to a Nuclear Weapon. Add that to our list of mind stresses: Climate Change, Inflation, Ukraine War, Covid, Trump &amp; Desantis, Rights of Women &amp; Rights of our LGBTQI Community in peril, North Korea, China..
Any others??"
592,"Five straight days of Covid-related exhaustion, and all of a sudden now I can’t sleep. I hope that’s a good sign."
593,@inkibitz1 @haveaconcern Anytime someone gives you something free aka Covid shot big Pharma is making money hand over fist
594,"Starting June 12th, negative Covid test requirements for entering the US will end. Glad to see this hurdle finally go away for international travel."
595,@andrewbostom That is true but people who get Covid are 30 times more likely to get  myocarditis And those who are vaccinatedObviously there’s some type of inflammatory response going on when fighting the spike  protein. Still much better to get vaccinated
596,"All these people coming to our country.  Hey mask people do you think they have had Covid vax polio or tb vax.  Most of are pop has chicken pox, measles and tb or at least suffered thru the disease, so no issue to reintroduce that into the USA?"
597,"""Studies have shown that up to 30% of the population who contract the virus may experience post Covid-19 symptoms."" Not too late for many to get vaccinated! https://t.co/kUnNbCuKHI"
598,"@jreentertain Maybe its pride, but its hard to ask 4 help. Ever since ive had covid and my car wrecked in Jan ive been 1 month behind on bills. Late every month and its finally catchn up, my rent was due no later than Fri and still 2k short. At this point im busted, no eth, no more saitama. https://t.co/v60hXNQMlh"
599,@CandiceBergenMP He's disarming the people and subsidizing COVID vaccine manufacturing plants in Montreal. He's hiring for a ministry of vaccination...he's going to force unvaccinated Canadians into vaccination and impose more vaccinations on vaccinated Canadians...
600,@JeopardyFinal What is Long COVID?
601,JOURNALINGS: ENTRIES: DAN: ISLAND DOCTORS ROCK!!! NO COVID TODAY!!! https://t.co/ES8A4ArbbY
602,"@Luna_lotuss she has no grab game, players can sit and mash oos options against her. her moves also just dont work either lol. she has to make 3 reads to even get a ztd. Advantage state is great and she can edgeguard wonderfully but post covid everyone has much better defensive habit 2/?"
603,"Oh, I can 
It's definitely the Maga crowd...unlike covid, there's no cure for stupid and hateful https://t.co/1T6KbEuYSP"
604,I live in a community in NE Florida. I along with 3coworkers have Covid. I work in a high school with graduation activities happening this week. I predict a surge.
605,Sunjar Im positivo de COVID y en duda para el PGA Champiosnhip
606,"@NoUse4aName781 @drgauravchandra Yes &amp; yes.
So logically speaking-why on earth are they so petrified about? This is not about control as it’s said they’re losing immense amounts of money right now by these EXTREME lock downs.They absolutely r trying to STOP people from even getting CoVid. Why?
What do they know?"
607,"@NoUse4aName781 @drgauravchandra What does #China know abt #SARSCoV2 that the rest of 🌎does not know?
The rest of the🌎 is learning to live w #CoVid &amp; easing up yet China is STILL enforcing EXTREME measures. What long term effects of CoVid do they know abt that they want less ppl to catch it?
Must be a reason."
608,"LOL! Get it #NOLA !!!
People ready to tear it up after over two years of #covid confinement!
Never again!!!!
And never again because we have @enzolytics !!!

$ENZC https://t.co/j9AnWjC2fQ"
609,@NoUse4aName781 @EnzcLong @drgauravchandra So I can buy it today online? Id like to stop this in its tracks if I do have CoVid. I took some Dexamethasone (steroid) I had home &amp; it helped the swelling in my throat but that was scary- unlike any sore throat Iveever had before. It was like top &amp; bottom closing off my airway
610,"Ive never had #CoVid
All of my kids have.
Vaxed x3. Today I was awakened from sleep by this sensation that I could not breath-Oxygen starved.
Why? The weirdest sore throat ever. It just felt like the back of my throat, top &amp; bottom, were inflamed &amp; touching. Any1 experience this?"
611,"@DeathNotary @ArtDauda @ZelenskyyUa @humblceo @elonmusk @flyboy1075 My pleasure 🥰
This reporter has had me on as a nurse talking about CoVid so many times and even called me last minute many times to fill air space.
He kind of owes me!
I really hope he/his network want to interview Dauda for a quick segment! 🙏🏼🙏🏽🙏🏾"
612,$ENZC #IDTwitter #MedTwitter #MDTwitter #HIV #CoVid #SARSCoV2 https://t.co/J8VmiFgouf
613,Everyone is upset because illegals are crossing the border with no Covid shot.  Let’s also remind that these people have had a polio tb or measles shot  you want to bring that too!?
614,We have our 3rd (&amp; final) college graduate. So proud of Kelli Podany! She persevered through Covid-challenged times &amp; starts her career in 3 weeks #ufgrad 🐊 https://t.co/y0RdCr9soJ
615,@Angelsdad15 So besides Covid we are risking a resurgence of polio tb measles which I had twice. No fun
616,"@KingSherriff Sell it and buy $ENZC
#COVID #SARS_CoV_2 #HIV #IDTwitter #MedTwitter https://t.co/qjThF2wqBB https://t.co/jxtO5IA8TA"
617,"@MartyMakary Doc take a look at this companies PR please.
Thanks…. a nurse.
@enzolytics 
#SARSCoV2 #COVID #HIV https://t.co/qjThF2wqBB"
618,"It’s a 4-C 24 hours for me at Mayo—Check blood, Chemo, Covid test, and Colonoscopy. https://t.co/ltskGa0rGd"
619,"If Twitter gets $43 billion, imagine how much the #CURE to #HIV #CoVid &amp; other #InfectiousDiseases would be bought for!
Intel &amp; Samsung collab’ing.
Patent dispute they won against Dr Fauci yrs ago.
4 decades of work coming to fruition during a pandemic as if poetic Justice.
$ENZC https://t.co/memq2PlcEU"
620,"Who bought more $ENZC today?

#MedTwitter #InfectiousDiseases #HIV #CoVid #Stocks #biotech"
621,"@ArthurSchwartz I thought #Title42 was a health and safety issue, protecting Americans from unknown illegals crossing our southern border who may be infected with the virus... I guess Covid is officially over? According to the Left, these ""asylum"" seekers present no risk. Which is it? #confused"
622,@Fonziruv @NikkiFried This particular tweet shows a major problem. She has supposedly been supportive of all measures to prevent Covid spread. This teeet shows we can’t trust her word. That’s pretty important.
623,"@trish_regan I live in florida.  De Santis has handled Covid not heavy handed.  You want a mask wear it don’t don’t wear it,  the only time I have had to wear a mask is when I left the state"
624,"First #CoVid caused 2 years to stand still.
Now $ENZC &amp; $HMBL are causing another 2 years to stand still just waiting for some upward momentum.
MM, Shorts, whoever is messing with us…. can u let um’ rip just a little, just for a taste for the love of God 😇
#Exhausted"
625,@covid_parent If they believed that they could probably spin it around to trump as well
626,@KatiePavlich I have had measles twice and it was way worse than Covid.  The high fever damaged my eyesight in my teens.  This is before the vaccines.  I got it all- mumps chicken pox scarlet fever.  Covid was easy
627,When you see someone wearing a Covid mask to work randomly when you never see them with it on normally https://t.co/wG6G2gEEaL
628,I know Covid 19 is a non factor from what I seen 🔥🔥🔥 https://t.co/Y3V41qIkBx
629,Is there a connection between oral health and COVID-19?  https://t.co/sxx98ieN7r there a connection between oral health and COVID-19?
630,"Who is watching our 6? All orchestrated distractions... Covid, Inflation, Fuel, Ukraine, Hunter, and looming Food Scarcity... All while we are being invaded at our southern border and the #CCP preps to seize Taiwan. @POTUS is under The Big Top with The Greatest Show on Earth. 🎪"
631,"@trsmiami Who is watching our 6? All orchestrated distractions... Covid, Inflation, Fuel, Ukraine, Hunter, and looming Food Scarcity... All while we are being invaded at our southern border and the #CCP preps to seize Taiwan. @POTUS is under The Big Top with The Greatest Show on Earth. 🎪"
632,"Mayo Clinic, one of the nation's premier medical facilities, still taking covid precautions and masking very seriously. Appreciate knowing we have medical experts to set the example."
633,Not to mention thousand of people are still dying from Covid EVERY month. It has not disappeared! https://t.co/3iBvBzkeiv
634,@danielleabdulla @Polly508729431 @JoJoFromJerz @GovRonDeSantis @FLGuard Aid the injured -  just like they always do in crisis. Even with Covid… You guys are special.
635,Please and thank you. I was sick with covid for 3 weeks in January! That was a lot of work to miss. I still had a job but no pay this weeks. https://t.co/HfOu1cn6Mw https://t.co/3yzVT7Stgs
636,Your reward for surviving COVID-19? World War III. https://t.co/EypmbkTKI8
637,Queen Elizabeth has Covid. RIP Covid.
638,@NBSaphierMD @FTimes15 Covid is the Trojan Horse.
639,Finally Covid free! https://t.co/U9WqrmGviv
640,"@FunCouponsss @EReidSchroeder If u have had CoVid &amp; have natural immunity, that should count as it does in the EU.The problem is in order to attain natural immunity u need to get CoVid &amp; survive. Those that die from CoVid never attain natural immunity as they died-their immune system overreacted &amp; killed them"
641,"@EReidSchroeder Getting it &amp; dying from it are 2 very different things. Yes u can still get CoVid &amp; pass it even while vax’ed but it reduces mortality aka dying from CoVid.
Ive seen many deaths &amp; so far, in my personal experience, they were not vax’ed. So statistically speaking, the vax helps."
642,"@EReidSchroeder Yes it’s not 100% &amp; almost nothing is. It was said 2B 85% against the original CoVid &amp; 65% against Delta.But at least its some protection from death for most (not all).
I’ve seen so much that most don’t see so I have a different perspective. mRNA is the future against cancer also"
643,"Do you have Type O blood?
If so, have you had #CoVid ?
There are some studies that say Type O is less likely to get sick from CoVid. I’m Type O &amp; have had CoVid all around me &amp; never had one symptom (Thank God). Curious.
#LongCovid #Omicron #Deltacron #MedTwitter 
#COVID19"
644,"To those who are fully vaxxed and boosted and caught Covid, what was the hardest thing you dealt with? Mine is exhaustion."
645,@HerrenMeriah @enzolytics Yes that is true-some kids do experience that. Im so sorry that happened to him! I am now at my limit- no more CoVid vaccines. We got through the worst of it &amp;now all 3 kids have also had it. My son only got 2 shots as I felt 3rd was unnecessary since he had CoVid. It’s all scary
646,@HerrenMeriah @enzolytics My 66 yo was driving &amp; living life then lost her ability to walk from CoVid &amp;never had the strength to walk again and I took care of her for 18 months until she died. No vax back in 2020. My neighbor died as did many of my patients. It is not the flu for many-I bear witness to it
647,@JoshAnd20147162 @enzolytics I feel confident with my decision but I also understand why some are hesitant…I was too at first &amp; did not make this decision w/o studying the physiology of how this vaccine works. So far I have breathed in billions of CoVid virus &amp;have never gotten even a sniffle. Wish all well
